"","ter_ic","title","sum","IC","result"
"276","TIC_1","Путин Владимир Владимирович",45322,"УИК_35",538
"277","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_35",46
"278","TIC_1","Сурайкин Максим Александрович",401,"УИК_35",5
"279","TIC_1","Титов Борис Юрьевич",1166,"УИК_35",11
"280","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_35",37
"281","TIC_1","Бабурин Сергей Николаевич",609,"УИК_36",10
"282","TIC_1","Грудинин Павел Николаевич",5832,"УИК_36",96
"283","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_36",41
"284","TIC_1","Путин Владимир Владимирович",45322,"УИК_36",777
"285","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_36",62
"286","TIC_1","Сурайкин Максим Александрович",401,"УИК_36",10
"287","TIC_1","Титов Борис Юрьевич",1166,"УИК_36",25
"288","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_36",38
"289","TIC_1","Бабурин Сергей Николаевич",609,"УИК_37",14
"290","TIC_1","Грудинин Павел Николаевич",5832,"УИК_37",58
"291","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_37",23
"292","TIC_1","Путин Владимир Владимирович",45322,"УИК_37",437
"293","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_37",43
"294","TIC_1","Сурайкин Максим Александрович",401,"УИК_37",3
"295","TIC_1","Титов Борис Юрьевич",1166,"УИК_37",7
"296","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_37",31
"297","TIC_1","Бабурин Сергей Николаевич",609,"УИК_38",6
"298","TIC_1","Грудинин Павел Николаевич",5832,"УИК_38",85
"299","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_38",55
"300","TIC_1","Путин Владимир Владимирович",45322,"УИК_38",708
"301","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_38",51
"302","TIC_1","Сурайкин Максим Александрович",401,"УИК_38",5
"303","TIC_1","Титов Борис Юрьевич",1166,"УИК_38",15
"304","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_38",35
"305","TIC_1","Бабурин Сергей Николаевич",609,"УИК_39",14
"306","TIC_1","Грудинин Павел Николаевич",5832,"УИК_39",87
"307","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_39",43
"308","TIC_1","Путин Владимир Владимирович",45322,"УИК_39",695
"309","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_39",62
"310","TIC_1","Сурайкин Максим Александрович",401,"УИК_39",3
"311","TIC_1","Титов Борис Юрьевич",1166,"УИК_39",18
"312","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_39",57
"313","TIC_1","Бабурин Сергей Николаевич",609,"УИК_40",9
"314","TIC_1","Грудинин Павел Николаевич",5832,"УИК_40",107
"315","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_40",53
"316","TIC_1","Путин Владимир Владимирович",45322,"УИК_40",809
"317","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_40",60
"318","TIC_1","Сурайкин Максим Александрович",401,"УИК_40",12
"319","TIC_1","Титов Борис Юрьевич",1166,"УИК_40",20
"320","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_40",58
"321","TIC_1","Бабурин Сергей Николаевич",609,"УИК_41",7
"322","TIC_1","Грудинин Павел Николаевич",5832,"УИК_41",55
"323","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_41",23
"324","TIC_1","Путин Владимир Владимирович",45322,"УИК_41",424
"325","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_41",45
"326","TIC_1","Сурайкин Максим Александрович",401,"УИК_41",1
"327","TIC_1","Титов Борис Юрьевич",1166,"УИК_41",14
"328","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_41",16
"329","TIC_1","Бабурин Сергей Николаевич",609,"УИК_42",10
"330","TIC_1","Грудинин Павел Николаевич",5832,"УИК_42",98
"331","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_42",32
"332","TIC_1","Путин Владимир Владимирович",45322,"УИК_42",767
"333","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_42",66
"334","TIC_1","Сурайкин Максим Александрович",401,"УИК_42",11
"335","TIC_1","Титов Борис Юрьевич",1166,"УИК_42",28
"336","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_42",55
"337","TIC_1","Бабурин Сергей Николаевич",609,"УИК_43",16
"338","TIC_1","Грудинин Павел Николаевич",5832,"УИК_43",173
"339","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_43",82
"340","TIC_1","Путин Владимир Владимирович",45322,"УИК_43",1272
"341","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_43",107
"342","TIC_1","Сурайкин Максим Александрович",401,"УИК_43",10
"343","TIC_1","Титов Борис Юрьевич",1166,"УИК_43",23
"344","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_43",42
"345","TIC_1","Бабурин Сергей Николаевич",609,"УИК_44",7
"346","TIC_1","Грудинин Павел Николаевич",5832,"УИК_44",80
"347","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_44",37
"348","TIC_1","Путин Владимир Владимирович",45322,"УИК_44",545
"349","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_44",59
"350","TIC_1","Сурайкин Максим Александрович",401,"УИК_44",2
"351","TIC_1","Титов Борис Юрьевич",1166,"УИК_44",7
"352","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_44",35
"353","TIC_1","Бабурин Сергей Николаевич",609,"УИК_45",14
"354","TIC_1","Грудинин Павел Николаевич",5832,"УИК_45",87
"355","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_45",32
"356","TIC_1","Путин Владимир Владимирович",45322,"УИК_45",813
"357","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_45",65
"358","TIC_1","Сурайкин Максим Александрович",401,"УИК_45",8
"359","TIC_1","Титов Борис Юрьевич",1166,"УИК_45",35
"360","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_45",63
"361","TIC_1","Бабурин Сергей Николаевич",609,"УИК_46",5
"362","TIC_1","Грудинин Павел Николаевич",5832,"УИК_46",96
"363","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_46",52
"364","TIC_1","Путин Владимир Владимирович",45322,"УИК_46",768
"365","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_46",65
"366","TIC_1","Сурайкин Максим Александрович",401,"УИК_46",13
"367","TIC_1","Титов Борис Юрьевич",1166,"УИК_46",15
"368","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_46",39
"369","TIC_1","Бабурин Сергей Николаевич",609,"УИК_47",16
"370","TIC_1","Грудинин Павел Николаевич",5832,"УИК_47",160
"371","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_47",59
"372","TIC_1","Путин Владимир Владимирович",45322,"УИК_47",1071
"373","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_47",105
"374","TIC_1","Сурайкин Максим Александрович",401,"УИК_47",10
"375","TIC_1","Титов Борис Юрьевич",1166,"УИК_47",28
"376","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_47",55
"377","TIC_1","Бабурин Сергей Николаевич",609,"УИК_48",7
"378","TIC_1","Грудинин Павел Николаевич",5832,"УИК_48",62
"379","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_48",31
"380","TIC_1","Путин Владимир Владимирович",45322,"УИК_48",444
"381","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_48",36
"382","TIC_1","Сурайкин Максим Александрович",401,"УИК_48",5
"383","TIC_1","Титов Борис Юрьевич",1166,"УИК_48",18
"384","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_48",20
"385","TIC_1","Бабурин Сергей Николаевич",609,"УИК_49",13
"386","TIC_1","Грудинин Павел Николаевич",5832,"УИК_49",104
"387","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_49",63
"388","TIC_1","Путин Владимир Владимирович",45322,"УИК_49",857
"389","TIC_1","Собчак Ксения Анатольевна",3776,"УИК_49",75
"390","TIC_1","Сурайкин Максим Александрович",401,"УИК_49",10
"391","TIC_1","Титов Борис Юрьевич",1166,"УИК_49",13
"392","TIC_1","Явлинский Григорий Алексеевич",2588,"УИК_49",36
"393","TIC_1","Бабурин Сергей Николаевич",609,"УИК_50",10
"394","TIC_1","Грудинин Павел Николаевич",5832,"УИК_50",136
"395","TIC_1","Жириновский Владимир Вольфович",2714,"УИК_50",50
"396","TIC_1","Путин Владимир Владимирович",45322,"УИК_50",923
